id,title,type,directors,actors,release_year,duration,categories,plot
7257,la piloto,tv show,,"livia brito,juan eduardo colucho,arap bethke,maría fernanda yépes,alejandro nones,maría de la fuente,verónica montes,natasha domínguez,maría fernanda garcía,mauricio aspe,stephanie salas,tommy vasquez,macarena achaga",2017,1 season,"crime tv shows,international tv shows,spanishlanguage tv shows",dreaming her whole life of becoming a pilot yolanda finds work as a flight attendant unaware she will soon be thrust into a drug smuggling operation
7258,la rosa de guadalupe,tv show,,"milia nader,francisco avendaño,diego lara,sandra itzel,marisol del olmo,aleyda gallardo,gerardo murguía,roxana saucedo,emmanuel orenday,maru dueñas",2010,1 season,"classic  cult tv,crime tv shows,international tv shows",this series responds to the need to believe in miracles dreams love stories and happy endings with positive characters
7259,la viuda negra,tv show,alejandro lozano,"ana serradilla,julián román,ramiro meneses,juan pablo gamboa,eileen moreno,luis alfredo velasco,margarita reyes,alexander gil,luis roberto guzmán,raúl méndez",2016,1 season,"crime tv shows,international tv shows,spanishlanguage tv shows",beautiful and ruthless griselda blanco known as the queen of cocaine becomes pablo escobars boss and governs a world of deceit and death
7260,laal rang,movie,syed ahmad afzal,"randeep hooda,piaa bajpai,jaihind kumar,akshay oberoi,rajneesh duggal,ashutosh kaushik,meenakshi dixit,shreya narayan,rajendra sethi",2016,143 min,"dramas,international movies,thrillers",eager for cash rajesh joins his friend shankars bloodtheft operation as rajeshs greed grows and the cops close in shankar is poised to explode
7261,laddaland,movie,sopon sukdapisit,"saharat sangkapreecha,pok piyatida woramusik,sutatta udomsilp,athipich chutiwatkajornchai,deuntem salitul,sahajak boonthanakit",2011,112 min,"horror movies,international movies",when a family moves into an upscale housing development they encounter a series of paranormal events that drive them to the edge of insanity
7262,lady bloodfight,movie,chris nahon,"amy johnston,muriel hofmann,jenny wu,kathy wu,jet tranter,mayling ng",2016,101 min,action  adventure,an american travels to hong kong in hopes of winning a lucrative  but potentially deadly  allfemale underground fighting tournament
7263,lady in the water,movie,m night shyamalan,"paul giamatti,bryce dallas howard,jeffrey wright,bob balaban,sarita choudhury,cindy cheung,m night shyamalan,freddy rodríguez,bill irwin,mary beth hurt",2006,110 min,"scifi  fantasy,thrillers",when an apartment building manager discovers a water nymph in the complexs swimming pool he tries to help her return to her mythical home
7264,ladylike,movie,,"allie gallerani,beverly dangelo,olivia luccardi,stephanie simbari,nick clark,brian wiles",2018,83 min,"comedies,independent movies",after she pushes her best friend kort to date a handsome transfer student college student allie is left to tackle adulthood on her own
7265,lady la vendedora de rosas,tv show,,"natalia reyes,michelle orozco,majida issa,ernesto benjumea,viña machado,carlos mariño,alberto cardeño,fabio restrepo,juan pablo barragán,maria jose vargas",2015,1 season,"international tv shows,spanishlanguage tv shows,tv dramas",this series tells the life story of colombian film star lady tabares who was plucked off the mean streets to star in a film and quickly rose to fame
7266,lalbaug parel zali mumbai sonyachi,movie,mahesh manjrekar,"sachin khedekar,seema biswas,ankush chaudhari,satish kaushik,siddarth jadhav,shashank shende,sameer dharmadhikari,karan patel,veena jamkar,kashmira shah",2010,145 min,"dramas,international movies",industrial workers struggle against the greed of their employers and the apathy of the government toward the conditions in which they live and work
7267,land girls,tv show,,"becci gemmell,susan cookson,mark benton,mykola allen,sophie ward,jo woodcock,seline hizli,liam boyle,danny webb,nicholas shaw,carolyn pickles,david schofield,summer strallen,christine bottomley",2011,3 seasons,"british tv shows,international tv shows,tv dramas",follow the lives loves highs and lows of four members of the womens land army who are working at the hoxley estate during wwii
7268,larceny,movie,r ellis frazier,"dolph lundgren,corbin bernsen,louis mandylor,isaac c singleton jr,jocelyn osorio,eddie j fernandez,david fernandez jr,mauricio mendoza,steven dell,luis gatica",2017,87 min,action  adventure,an excia contractor turned thief is forced to head a cia gambit to infiltrate a black ops mexican prison and steal 50 million in drug cartel money
7269,last,tv show,,"kyesang yoon,beomsu lee,yeji seo,wonsang park,yejin park,hyungjin gong,jongjun jeong,seha ahn,jaeyee goo,yongwoo lee",2015,1 season,"crime tv shows,international tv shows,korean tv shows",when his big stock plan fails a hotshot fund manager winds up homeless and must learn the secret ranking system of the street in order to survive
7270,last ferry,movie,jaki bradley,"ramón o torres,sheldon best,myles clohessy,larry owens,gabriel sloyer",2019,86 min,"dramas,independent movies,lgbtq movies",seeking romance and friendship a young gay lawyer travels to fire island in the offseason and is soon on the run after witnessing a murder
7271,last knights,movie,kazuaki kiriya,"clive owen,morgan freeman,cliff curtis,aksel hennie,peyman moaadi,ayelet zurer,shohreh aghdashloo,tsuyoshi ihara,ahn sungkee",2015,115 min,action  adventure,a nobleman who values his peoples wellbeing over his emperors edicts is killed his knights vow revenge
7272,last night,movie,massy tadjedin,"keira knightley,sam worthington,guillaume canet,eva mendes,griffin dunne,anson mount,stephanie romanov,scott adsit,daniel eric gold",2010,93 min,"dramas,independent movies,romantic movies",during an evening apart married couple joanna and michael encounter tempting opportunities to cheat on each other with sexy acquaintances
7273,le k benzema,movie,"damien piscarel,florent bodin",karim benzema,2017,121 min,"documentaries,international movies,sports movies",after a blackmailing scandal and being sidelined from the french national team real madrid forward karim benzema tells his side of the story
7274,le serment des hitler,movie,emmanuel amara,,2014,54 min,"documentaries,international movies",this documentary retraces the footsteps of adolf hitlers mysterious nephew and explores what became of the hitler family line
7275,leap year,movie,anand tucker,"amy adams,matthew goode,adam scott,john lithgow,noel odonovan,tony rohr,pat laffan,alan devlin,ian mcelhinney,dominique mcelligott",2010,100 min,"comedies,romantic movies",anna chooses february 29 to propose marriage to her boyfriend but after meeting a charming innkeeper she must evaluate her original plans
7276,leapfrog letter factory,movie,roy allen smith,"joey camen,marie danielle,mark cacciatore,dave fennoy,debi derryberry",2003,37 min,children  family movies,in this entertaining installment of the wildly popular earlylearning series professor quigley leap lily and tad arrive at the magical letter factory where jumbles of sounds are miraculously shaped into letters
7277,leapfrog numberland,movie,ron myrick,"jeannie elias,kat feller,sandy fox,cindy robinson,richard rosenblatt",2011,33 min,movies,with transport support from their magic car axel the leapfrog pets make a new friend named max who helps them learn counting skills in numberland
7278,leapfrog phonics farm,movie,ron myrick,"jeannie elias,kat feller,sandy fox,cindy robinson,richard rosenblatt",2011,35 min,movies,scout takes a magical trip to a farm where an alligator and other friendly critters teach him all about sounding out the letters of the alphabet
7279,leapfrog singalong readalong,movie,ron myrick,"julie maddalena,cindy robinson",2011,32 min,children  family movies,using rhythm and rhymes a funky band and a colorful cast of characters help make reading sounding out vowels and building words easy and fun
7280,learning time with timmy,tv show,,saskia portway,2018,1 season,"british tv shows,kids tv",colorful characters and edutaining activities help make learning english fun in this series geared toward youngsters
7281,lechmi,movie,bn shajeer sha,"parvathy ratheesh,biju sopanam,sethulekshmi amma,molly angamaly",2017,147 min,"comedies,horror movies,international movies",the spirit of a murdered woman contacts four bachelors enlisting their help to find her killer
7282,left behind,movie,vic armstrong,"nicolas cage,chad michael murray,cassi thomson,nicky whelan,jordin sparks,lea thompson,gary grubbs,quinton aaron",2014,110 min,"action  adventure,faith  spirituality,scifi  fantasy",after millions of people on earth suddenly disappear a pilot flying a plane stuck at 30000 feet must find a way to ensure the passengers survival
7283,legend of the guardians the owls of gahoole,movie,zack snyder,"helen mirren,geoffrey rush,jim sturgess,hugo weaving,emily barclay,abbie cornish,ryan kwanten,anthony lapaglia,miriam margolyes,sam neill",2010,97 min,children  family movies,soren a barn owl kidnapped from his peaceful forest home is brought to an orphanage where he must train to become a soldier
7284,legend of the naga pearls,movie,yang lei,"darren wang,zhang tianai,sheng guansen,simon yam,wang xun,zhao jian,xing yu,hu bing,he sui,luxia jiang",2017,108 min,"action  adventure,international movies,scifi  fantasy",a petty thief teams up with two bickering accomplices to safeguard a powerful relic and save humankind from a tribe of vengeful winged humanoids
7285,legendary weapons of china,movie,chialiang liu,"gordon liu,chia yung liu,hou hsiao,chialiang liu,tiet wo chu,sheng fu,kara hui",1982,101 min,"action  adventure,cult movies,international movies",three assassins  magician lei ying hit man tieh hon and kung fu master ti tan  are sent to yunnan by their clan leader to bring to justice another clan member who betrayed the tribe
7286,legends of strength,tv show,,"eugen sandow,apollon",2017,1 season,docuseries,from a circus entertainer to a grip master meet the bodybuilding heroes who defied physical limits and redefined the meaning of strength
7287,legion,movie,scott stewart,"paul bettany,lucas black,tyrese gibson,adrianne palicki,charles s dutton,jon tenney,kevin durand,willa holland,kate walsh,dennis quaid,jeanette miller,cameron harlow,doug jones,josh stamberg,yancey arias",2010,100 min,"action  adventure,horror movies,scifi  fantasy",a motley crew of apocalypse survivors living at an abandoned truck stop never suspects that the pregnant woman among them is carrying the messiah
7288,lego friends,tv show,,"elisa schnebelie,raquel christiana,lucia vecchio,karen strassman,michelle ruff,sam riegel",2017,3 seasons,kids tv,as a way to make friends new girl in town olivia volunteers to work at the heartlake city world petacular with four other girls
7289,lego friends girls on a mission,tv show,"andrew tan,stephen murray","jasmine st clair,allegra clark,rosamund marks,faye mata,kira buckland,david roach,bradley venable",2018,1 season,kids tv,five best friends put their teamwork wits and courage to the test when they take on a mission to protect heartlake city from bad people
